PassengerId,Pclass,Age,SibSp,Parch,Fare,Class*Age,Class*Fare,female,male,C,Q,S,Master,Miss,Mr,Mrs,Others
1.0,0.8252086287077022,-0.5823654978077982,0.4313502389523841,-0.4743258521037861,-0.5002397510893574,0.03230078559927125,-0.5762727352806961,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,-1.5722112109038908,0.626314234473789,0.4313502389523841,-0.4743258521037861,0.788946607905507,-0.8026487124030736,0.38387769192819887,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.8252086287077022,-0.2801955647374014,-0.4751990812099552,-0.4743258521037861,-0.48664993466069395,0.3901362847431333,-0.537020260377994,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4.0,-1.5722112109038908,0.39968678467099134,0.4313502389523841,-0.4743258521037861,0.4228611129909654,-0.892107587189039,0.03141372802780264,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,0.8252086287077022,0.39968678467099134,-0.4751990812099552,-0.4743258521037861,-0.4841333019887193,1.1952661578168229,-0.5297512835441602,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6.0,0.8252086287077022,0.2008658016991065,-0.4751990812099552,-0.4743258521037861,-0.47591297302898106,0.9598184911376801,-0.5060078976141259,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7.0,-1.5722112109038908,1.834993966755376,-0.4751990812099552,-0.4743258521037861,0.39794644953841574,-0.3255347135445908,0.007426104476151292,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8.0,0.8252086287077022,-2.093215163159782,2.244448879277063,0.7658967435440545,-0.22190017756895475,-1.7568767101200389,0.22767610254131285,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9.0,0.8252086287077022,-0.20465308146980224,-0.4751990812099552,2.006119339191895,-0.4220570338487224,0.4795951595290988,-0.35045179337008425,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10.0,-0.3735012910980943,-1.1867053639485918,0.4313502389523841,-0.4743258521037861,-0.040787184044554156,-1.1008449616896252,0.16790766742279853,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
